129, 1684948333501961, 1684948333502126, 165
130, 1684948333514776, 1684948333515050, 274
131, 1684948333527111, 1684948333529886, 2775
132, 1684948333538512, 1684948333542416, 3904
133, 1684948333561959, 1684948333562266, 307
134, 1684948333574677, 1684948333574730, 53
135, 1684948333593958, 1684948333594057, 99
136, 1684948333613503, 1684948333613681, 178
137, 1684948333629119, 1684948333629289, 170
138, 1684948333650055, 1684948333650143, 88
139, 1684948333662922, 1684948333665792, 2870
140, 1684948333674317, 1684948333681128, 6811
141, 1684948333685751, 1684948333710057, 24306
142, 1684948333709963, 1684948333725848, 15885
143, 1684948333723154, 1684948333731531, 8377
144, 1684948333734546, 1684948333746954, 12408
145, 1684948333758644, 1684948333758776, 132
146, 1684948333777963, 1684948333778093, 130
147, 1684948333793952, 1684948333794089, 137
148, 1684948333806150, 1684948333817976, 11826
149, 1684948333817973, 1684948333824677, 6704
150, 1684948333837963, 1684948333837976, 13
151, 1684948333857972, 1684948333857977, 5
152, 1684948333871168, 1684948333871487, 319
153, 1684948333884432, 1684948333890559, 6127
154, 1684948333895921, 1684948333916323, 20402
155, 1684948333927627, 1684948333927628, 1
156, 1684948333940037, 1684948333940039, 2
157, 1684948333954180, 1684948333973962, 19782
158, 1684948333974170, 1684948333981811, 7641
159, 1684948333992434, 1684948333996937, 4503
160, 1684948334003466, 1684948334017963, 14497
161, 1684948334015374, 1684948334031458, 16084
162, 1684948334032080, 1684948334053542, 21462
163, 1684948334060120, 1684948334078108, 17988
164, 1684948334071298, 1684948334097108, 25810
165, 1684948334082776, 1684948334110671, 27895
166, 1684948334103311, 1684948334125995, 22684
167, 1684948334114488, 1684948334145443, 30955
168, 1684948334132078, 1684948334161745, 29667
169, 1684948334143053, 1684948334175083, 32030
170, 1684948334160800, 1684948334198820, 38020
171, 1684948334171804, 1684948334205391, 33587
172, 1684948334185280, 1684948334217600, 32320
173, 1684948334209833, 1684948334229259, 19426
174, 1684948334222441, 1684948334239880, 17439
175, 1684948334235952, 1684948334258173, 22221
176, 1684948334248146, 1684948334269171, 21025
177, 1684948334264071, 1684948334282697, 18626
178, 1684948334275991, 1684948334292586, 16595
179, 1684948334287887, 1684948334309910, 22023
180, 1684948334309501, 1684948334315927, 6426
181, 1684948334322277, 1684948334327289, 5012
182, 1684948334334207, 1684948334339567, 5360
183, 1684948334350216, 1684948334350810, 594
184, 1684948334369965, 1684948334370308, 343
185, 1684948334389967, 1684948334390059, 92
186, 1684948334403113, 1684948334403115, 2
187, 1684948334417011, 1684948334418045, 1034
188, 1684948334428483, 1684948334429388, 905
189, 1684948334439944, 1684948334439946, 2
190, 1684948334464077, 1684948334465762, 1685
191, 1684948334475500, 1684948334485954, 10454
192, 1684948334486685, 1684948334511121, 24436
193, 1684948334533963, 1684948334534022, 59
194, 1684948334547090, 1684948334547146, 56
195, 1684948334559706, 1684948334559764, 58
196, 1684948334577967, 1684948334578022, 55
197, 1684948334597970, 1684948334598025, 55
198, 1684948334610918, 1684948334610973, 55
199, 1684948334625952, 1684948334626885, 933
